date,ticker,base_amount,reference_price,calculated_investment
2025-08-16,AAPL,10000.0,201.86090087890625,4051.568739463377
2025-08-16,AAPL,10000.0,201.86090087890625,4051.568739463377
2025-08-16,AAPL,10000.0,201.86090087890625,4051.568739463377
2025-08-16,SPY,2000,581.1419677734375,1357.7873159211986
